date,target,model,actual,predicted,error
2025-12-06,hhs_care_load,7-day moving average,2425.3333333333335,2113.1428571428573,312.19047619047615
2025-12-07,hhs_care_load,7-day moving average,2429.0,2113.1428571428573,315.85714285714266
2025-12-08,hhs_care_load,7-day moving average,2440.0,2113.1428571428573,326.85714285714266
2025-12-09,hhs_care_load,7-day moving average,2443.0,2113.1428571428573,329.85714285714266
2025-12-10,hhs_care_load,7-day moving average,2439.0,2113.1428571428573,325.85714285714266
2025-12-11,hhs_care_load,7-day moving average,2437.0,2113.1428571428573,323.85714285714266
2025-12-12,hhs_care_load,7-day moving average,2445.3333333333335,2113.1428571428573,332.19047619047615
2025-12-13,hhs_care_load,7-day moving average,2453.6666666666665,2113.1428571428573,340.5238095238092
2025-12-14,hhs_care_load,7-day moving average,2462.0,2113.1428571428573,348.85714285714266
2025-12-15,hhs_care_load,7-day moving average,2470.0,2113.1428571428573,356.85714285714266
2025-12-16,hhs_care_load,7-day moving average,2468.0,2113.1428571428573,354.85714285714266
2025-12-17,hhs_care_load,7-day moving average,2481.0,2113.1428571428573,367.85714285714266
2025-12-18,hhs_care_load,7-day moving average,2472.0,2113.1428571428573,358.85714285714266
2025-12-19,hhs_care_load,7-day moving average,2476.0,2113.1428571428573,362.85714285714266
2025-12-20,hhs_care_load,7-day moving average,2480.0,2113.1428571428573,366.85714285714266
2025-12-21,hhs_care_load,7-day moving average,2484.0,2113.1428571428573,370.85714285714266
2025-09-23,hhs_care_load,Seasonal naive,2145.0,2095.0,50.0
2025-09-24,hhs_care_load,Seasonal naive,2138.0,2096.0,42.0
2025-09-25,hhs_care_load,Seasonal naive,2132.0,2096.0,36.0
2025-09-26,hhs_care_load,Seasonal naive,2136.6666666666665,2108.6666666666665,28.0
2025-09-27,hhs_care_load,Seasonal naive,2141.3333333333335,2121.3333333333335,20.0
2025-09-28,hhs_care_load,Seasonal naive,2146.0,2134.0,12.0
2025-09-29,hhs_care_load,Seasonal naive,2148.0,2141.0,7.0
2025-09-30,hhs_care_load,Seasonal naive,2159.0,2095.0,64.0
2025-10-01,hhs_care_load,Seasonal naive,2163.0,2096.0,67.0
2025-10-02,hhs_care_load,Seasonal naive,2164.0,2096.0,68.0
2025-10-03,hhs_care_load,Seasonal naive,2169.3333333333335,2108.6666666666665,60.66666666666697
2025-10-04,hhs_care_load,Seasonal naive,2174.6666666666665,2121.3333333333335,53.33333333333303
2025-10-05,hhs_care_load,Seasonal naive,2180.0,2134.0,46.0
2025-10-06,hhs_care_load,Seasonal naive,2187.0,2141.0,46.0
2025-10-07,hhs_care_load,Seasonal naive,2189.0,2095.0,94.0
